id,year,event,location,content,label,source
777,2022,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
778,2023,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
779,2024,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
780,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
781,2020,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
782,2021,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
783,2022,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
784,2023,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Indian Express
785,2024,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Press Trust of India
786,2025,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Reuters
787,2020,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
788,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
789,2022,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
790,2023,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
791,2024,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
792,2025,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,BBC News
793,2020,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,The Hindu
794,2021,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Indian Express
795,2022,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Press Trust of India
796,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Reuters
797,2024,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
798,2025,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
799,2020,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
800,2021,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
801,2022,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
802,2023,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
803,2024,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
